Service Year,OMH Region Code,OMH Region Label,County Label,Age Group,Rate Code Group,Medicaid Enrollee Count by County,Count of Recipients by Rate Code Group and County,Units Total,Paid Claim Total
2018,2,Central NY,Franklin,Child,OMH/OASAS Certified Community Behavioral Health Clinics,4702,553,4956,1148159
2018,2,Central NY,Franklin,Child,Psych Inpatient 28,4702,21,192,163984
2018,2,Central NY,Franklin,Child,Psych Inpatient 31,4702,0,0,0
2018,2,Central NY,Franklin,Child,Psych Inpatient SPC,4702,0,0,0
2018,2,Central NY,Franklin,Child,Residential Treatment Facility,4702,0,0,0
2018,2,Central NY,Franklin,Senior,Community Residence,1498,0,0,0
2018,2,Central NY,Franklin,Senior,MH Emergency,1498,0,0,0
2018,2,Central NY,Franklin,Senior,OMH Licensed Clinic Treatment,1498,0,0,0
2018,2,Central NY,Franklin,Senior,OMH/OASAS Certified Community Behavioral Health Clinics,1498,85,451,96654
2018,2,Central NY,Franklin,Senior,Psych Inpatient 28,1498,0,0,0
2018,2,Central NY,Fulton,Adult,Assertive Community Treatment,8610,22,120,185946
2018,2,Central NY,Fulton,Adult,Community Residence,8610,67,493,1341902
2018,2,Central NY,Fulton,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",8610,0,0,0
2018,2,Central NY,Fulton,Adult,MH Emergency,8610,360,577,95579
2018,2,Central NY,Fulton,Adult,OMH Licensed Clinic Treatment,8610,1387,17681,1816736
2018,2,Central NY,Fulton,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,8610,0,0,0
2018,2,Central NY,Fulton,Adult,Partial Hospitalization,8610,0,0,0
2018,2,Central NY,Fulton,Adult,Personalized Recovery Oriented Services,8610,160,999,909770
2018,2,Central NY,Fulton,Adult,Psych Inpatient 28,8610,151,929,476556
2018,2,Central NY,Fulton,Adult,Psych Inpatient 31,8610,0,0,0
2018,2,Central NY,Fulton,Child,Community Residence,5781,0,0,0
2018,2,Central NY,Fulton,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",5781,0,0,0
2018,2,Central NY,Fulton,Child,Home and Community Based Services Waiver (HCBS),5781,0,0,0
2018,2,Central NY,Fulton,Child,MH Emergency,5781,172,248,65719
2018,2,Central NY,Fulton,Child,OMH Children's Day Treatment,5781,23,2404,219550
2018,2,Central NY,Fulton,Child,OMH Licensed Clinic Treatment,5781,842,10157,1172451
2018,2,Central NY,Fulton,Child,Psych Inpatient 28,5781,28,172,126420
2018,2,Central NY,Fulton,Child,Psych Inpatient 31,5781,37,822,887127
2018,2,Central NY,Fulton,Child,Psych Inpatient SPC,5781,0,0,0
2018,2,Central NY,Fulton,Senior,Assertive Community Treatment,1783,0,0,0
2018,2,Central NY,Fulton,Senior,Community Residence,1783,0,0,0
2018,2,Central NY,Fulton,Senior,MH Emergency,1783,0,0,0
2018,2,Central NY,Fulton,Senior,OMH Licensed Clinic Treatment,1783,85,668,31219
2018,2,Central NY,Fulton,Senior,Personalized Recovery Oriented Services,1783,0,0,0
2018,2,Central NY,Fulton,Senior,Psych Inpatient 28,1783,0,0,0
2018,2,Central NY,Hamilton,Adult,Assertive Community Treatment,439,0,0,0
2018,2,Central NY,Hamilton,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",439,0,0,0
2018,2,Central NY,Hamilton,Adult,MH Emergency,439,0,0,0
2018,2,Central NY,Hamilton,Adult,OMH Licensed Clinic Treatment,439,0,0,0
2018,2,Central NY,Hamilton,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,439,0,0,0
2018,2,Central NY,Hamilton,Adult,Psych Inpatient 28,439,0,0,0
2018,2,Central NY,Hamilton,Child,MH Emergency,244,0,0,0
2018,2,Central NY,Hamilton,Child,OMH Licensed Clinic Treatment,244,0,0,0
2018,2,Central NY,Hamilton,Child,OMH/OASAS Certified Community Behavioral Health Clinics,244,0,0,0
2018,2,Central NY,Hamilton,Senior,MH Emergency,112,0,0,0
2018,2,Central NY,Hamilton,Senior,Psych Inpatient 28,112,0,0,0
2018,2,Central NY,Herkimer,Adult,Assertive Community Treatment,8484,0,0,0
2018,2,Central NY,Herkimer,Adult,Community Residence,8484,45,296,787287
2018,2,Central NY,Herkimer,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",8484,0,0,0
2018,2,Central NY,Herkimer,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",8484,0,0,0
2018,2,Central NY,Herkimer,Adult,MH Emergency,8484,277,509,83392
2018,2,Central NY,Herkimer,Adult,OMH Licensed Clinic Treatment,8484,867,7442,1036132
2018,2,Central NY,Herkimer,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,8484,0,0,0
2018,2,Central NY,Herkimer,Adult,Personalized Recovery Oriented Services,8484,0,0,0
2018,2,Central NY,Herkimer,Adult,Psych Inpatient 28,8484,148,1293,708867
2018,2,Central NY,Herkimer,Adult,Psych Inpatient 31,8484,0,0,0
2018,2,Central NY,Herkimer,Child,Community Residence,6433,0,0,0
2018,2,Central NY,Herkimer,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",6433,0,0,0
2018,2,Central NY,Herkimer,Child,Home and Community Based Services Waiver (HCBS),6433,0,0,0
2018,2,Central NY,Herkimer,Child,MH Emergency,6433,126,193,40167
2018,2,Central NY,Herkimer,Child,OMH Children's Day Treatment,6433,0,0,0
2018,2,Central NY,Herkimer,Child,OMH Licensed Clinic Treatment,6433,437,3826,509093
2018,2,Central NY,Herkimer,Child,Psych Inpatient 28,6433,0,0,0
2018,2,Central NY,Herkimer,Child,Psych Inpatient 31,6433,20,354,375936
2018,2,Central NY,Herkimer,Child,Psych Inpatient SPC,6433,23,513,865428
2018,2,Central NY,Herkimer,Senior,Community Residence,1975,0,0,0
2018,2,Central NY,Herkimer,Senior,MH Emergency,1975,24,34,991
2018,2,Central NY,Herkimer,Senior,OMH Licensed Clinic Treatment,1975,70,559,74337
2018,2,Central NY,Herkimer,Senior,Psych Inpatient 28,1975,0,0,0
2018,2,Central NY,Jefferson,Adult,Assertive Community Treatment,14501,0,0,0
2018,2,Central NY,Jefferson,Adult,Community Residence,14501,67,583,1351246
2018,2,Central NY,Jefferson,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",14501,0,0,0
2018,2,Central NY,Jefferson,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",14501,0,0,0
2018,2,Central NY,Jefferson,Adult,MH Emergency,14501,547,812,142575
2018,2,Central NY,Jefferson,Adult,OMH Licensed Clinic Treatment,14501,3753,27983,2710688
2018,2,Central NY,Jefferson,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,14501,28,371,77992
2018,2,Central NY,Jefferson,Adult,Psych Inpatient 28,14501,306,1637,823229
2018,2,Central NY,Jefferson,Adult,Psych Inpatient 31,14501,0,0,0
2018,2,Central NY,Jefferson,Child,Community Residence,10767,0,0,0
2018,2,Central NY,Jefferson,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",10767,0,0,0
2018,2,Central NY,Jefferson,Child,Home and Community Based Services Waiver (HCBS),10767,34,219,418197
2018,2,Central NY,Jefferson,Child,MH Emergency,10767,241,373,77703
2018,2,Central NY,Jefferson,Child,OMH Children's Day Treatment,10767,0,0,0
2018,2,Central NY,Jefferson,Child,OMH Licensed Clinic Treatment,10767,1134,9068,1267809
2018,2,Central NY,Jefferson,Child,OMH/OASAS Certified Community Behavioral Health Clinics,10767,0,0,0
2018,2,Central NY,Jefferson,Child,Partial Hospitalization,10767,0,0,0
2018,2,Central NY,Jefferson,Child,Psych Inpatient 28,10767,50,258,176951
2018,2,Central NY,Jefferson,Child,Psych Inpatient 31,10767,0,0,0
2018,2,Central NY,Jefferson,Child,Psych Inpatient SPC,10767,40,879,1536554
2018,2,Central NY,Jefferson,Child,Residential Treatment Facility,10767,0,0,0
2018,2,Central NY,Jefferson,Senior,Community Residence,2639,0,0,0
2018,2,Central NY,Jefferson,Senior,MH Emergency,2639,29,37,1504
2018,2,Central NY,Jefferson,Senior,OMH Licensed Clinic Treatment,2639,111,632,31045
2018,2,Central NY,Jefferson,Senior,Psych Inpatient 28,2639,0,0,0
2018,2,Central NY,Lewis,Adult,Assertive Community Treatment,3135,0,0,0
2018,2,Central NY,Lewis,Adult,Community Residence,3135,0,0,0
2018,2,Central NY,Lewis,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",3135,0,0,0
2018,2,Central NY,Lewis,Adult,MH Emergency,3135,103,139,21669
2018,2,Central NY,Lewis,Adult,OMH Licensed Clinic Treatment,3135,574,5317,612963
2018,2,Central NY,Lewis,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,3135,0,0,0
2018,2,Central NY,Lewis,Adult,Psych Inpatient 28,3135,63,487,272359
2018,2,Central NY,Lewis,Child,Community Residence,2511,0,0,0
2018,2,Central NY,Lewis,Child,Home and Community Based Services Waiver (HCBS),2511,0,0,0
2018,2,Central NY,Lewis,Child,MH Emergency,2511,38,60,12470
2018,2,Central NY,Lewis,Child,OMH Children's Day Treatment,2511,0,0,0
2018,2,Central NY,Lewis,Child,OMH Licensed Clinic Treatment,2511,241,1730,177993
2018,2,Central NY,Lewis,Child,Psych Inpatient 28,2511,0,0,0
2018,2,Central NY,Lewis,Child,Psych Inpatient 31,2511,0,0,0
2018,2,Central NY,Lewis,Child,Psych Inpatient SPC,2511,0,0,0
2018,2,Central NY,Lewis,Senior,MH Emergency,705,0,0,0
2018,2,Central NY,Lewis,Senior,OMH Licensed Clinic Treatment,705,0,0,0
2018,2,Central NY,Lewis,Senior,Psych Inpatient 28,705,0,0,0
2018,2,Central NY,Madison,Adult,Assertive Community Treatment,7233,0,0,0
2018,2,Central NY,Madison,Adult,Community Residence,7233,24,140,363128
2018,2,Central NY,Madison,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",7233,0,0,0
2018,2,Central NY,Madison,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",7233,117,177,81779
2018,2,Central NY,Madison,Adult,MH Emergency,7233,231,359,53546
2018,2,Central NY,Madison,Adult,OMH Licensed Clinic Treatment,7233,953,10443,1353321
2018,2,Central NY,Madison,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,7233,110,2089,428464
2018,2,Central NY,Madison,Adult,Personalized Recovery Oriented Services,7233,115,729,629663
2018,2,Central NY,Madison,Adult,Psych Inpatient 28,7233,98,1130,559875
2018,2,Central NY,Madison,Adult,Psych Inpatient 31,7233,0,0,0
2018,2,Central NY,Madison,Child,Community Residence,5223,0,0,0
2018,2,Central NY,Madison,Child,"Comprehensive Psychiatric Emergency Program
 EOB",5223,0,0,0
2018,2,Central NY,Madison,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",5223,60,77,38790
2018,2,Central NY,Madison,Child,Home and Community Based Services Waiver (HCBS),5223,0,0,0
2018,2,Central NY,Madison,Child,MH Emergency,5223,78,121,21145
2018,2,Central NY,Madison,Child,OMH Licensed Clinic Treatment,5223,609,6285,909519
2018,2,Central NY,Madison,Child,OMH/OASAS Certified Community Behavioral Health Clinics,5223,0,0,0
2018,2,Central NY,Madison,Child,Psych Inpatient 28,5223,24,159,103683
2018,2,Central NY,Madison,Child,Psych Inpatient 31,5223,0,0,0
2018,2,Central NY,Madison,Child,Psych Inpatient SPC,5223,0,0,0
2018,2,Central NY,Madison,Child,Residential Treatment Facility,5223,0,0,0
2018,2,Central NY,Madison,Senior,Community Residence,1246,0,0,0
2018,2,Central NY,Madison,Senior,MH Emergency,1246,0,0,0
2018,2,Central NY,Madison,Senior,OMH Licensed Clinic Treatment,1246,32,310,31738
2018,2,Central NY,Madison,Senior,OMH/OASAS Certified Community Behavioral Health Clinics,1246,0,0,0
2018,2,Central NY,Madison,Senior,Personalized Recovery Oriented Services,1246,0,0,0
2018,2,Central NY,Madison,Senior,Psych Inpatient 28,1246,0,0,0
2018,2,Central NY,Montgomery,Adult,Assertive Community Treatment,7751,26,137,199745
2018,2,Central NY,Montgomery,Adult,Community Residence,7751,57,446,1126964
2018,2,Central NY,Montgomery,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",7751,0,0,0
2018,2,Central NY,Montgomery,Adult,MH Emergency,7751,335,527,79493
2018,2,Central NY,Montgomery,Adult,OMH Licensed Clinic Treatment,7751,1208,10841,1070556
2018,2,Central NY,Montgomery,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,7751,0,0,0
2018,2,Central NY,Montgomery,Adult,Partial Hospitalization,7751,0,0,0
2018,2,Central NY,Montgomery,Adult,Personalized Recovery Oriented Services,7751,177,1101,995974
2018,2,Central NY,Montgomery,Adult,Psych Inpatient 28,7751,145,1064,591338
2018,2,Central NY,Montgomery,Adult,Psych Inpatient 31,7751,0,0,0
2018,2,Central NY,Montgomery,Child,Community Residence,6390,0,0,0
2018,2,Central NY,Montgomery,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",6390,0,0,0
2018,2,Central NY,Montgomery,Child,Home and Community Based Services Waiver (HCBS),6390,0,0,0
2018,2,Central NY,Montgomery,Child,MH Emergency,6390,184,265,64077
2018,2,Central NY,Montgomery,Child,OMH Children's Day Treatment,6390,0,0,0
2018,2,Central NY,Montgomery,Child,OMH Licensed Clinic Treatment,6390,878,8554,969178
2018,2,Central NY,Montgomery,Child,Psych Inpatient 28,6390,25,181,113923
2018,2,Central NY,Montgomery,Child,Psych Inpatient 31,6390,36,770,791373
2018,2,Central NY,Montgomery,Child,Psych Inpatient SPC,6390,0,0,0
2018,2,Central NY,Montgomery,Child,Residential Treatment Facility,6390,0,0,0
2018,2,Central NY,Montgomery,Senior,Community Residence,1551,0,0,0
2018,2,Central NY,Montgomery,Senior,MH Emergency,1551,0,0,0
2018,2,Central NY,Montgomery,Senior,OMH Licensed Clinic Treatment,1551,80,402,16460
2018,2,Central NY,Montgomery,Senior,Personalized Recovery Oriented Services,1551,0,0,0
2018,2,Central NY,Montgomery,Senior,Psych Inpatient 28,1551,0,0,0
2018,2,Central NY,Oneida,Adult,Assertive Community Treatment,34770,168,1153,1471359
2018,2,Central NY,Oneida,Adult,Community Residence,34770,128,969,2886617
2018,2,Central NY,Oneida,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",34770,0,0,0
2018,2,Central NY,Oneida,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",34770,56,93,41166
2018,2,Central NY,Oneida,Adult,MH Emergency,34770,1271,2142,373700
2018,2,Central NY,Oneida,Adult,OMH Licensed Clinic Treatment,34770,4530,38303,4682486
2018,2,Central NY,Oneida,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,34770,86,419,90881
2018,2,Central NY,Oneida,Adult,Personalized Recovery Oriented Services,34770,33,103,60285
2018,2,Central NY,Oneida,Adult,Psych Inpatient 28,34770,643,6006,3869692
2018,2,Central NY,Oneida,Adult,Psych Inpatient 31,34770,0,0,0
2018,2,Central NY,Oneida,Child,Community Residence,27926,0,0,0
2018,2,Central NY,Oneida,Child,"Comprehensive Psychiatric Emergency Program
 EOB",27926,0,0,0
2018,2,Central NY,Oneida,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",27926,0,0,0
2018,2,Central NY,Oneida,Child,MH Emergency,27926,422,667,140341
2018,2,Central NY,Oneida,Child,OMH Children's Day Treatment,27926,0,0,0
2018,2,Central NY,Oneida,Child,OMH Licensed Clinic Treatment,27926,1834,16425,1854425
2018,2,Central NY,Oneida,Child,OMH/OASAS Certified Community Behavioral Health Clinics,27926,0,0,0
2018,2,Central NY,Oneida,Child,Partial Hospitalization,27926,0,0,0
2018,2,Central NY,Oneida,Child,Psych Inpatient 28,27926,68,668,598524
2018,2,Central NY,Oneida,Child,Psych Inpatient 31,27926,24,328,326637
2018,2,Central NY,Oneida,Child,Psych Inpatient SPC,27926,57,998,1720216
2018,2,Central NY,Oneida,Child,Residential Treatment Facility,27926,0,0,0
2018,2,Central NY,Oneida,Senior,Assertive Community Treatment,6465,0,0,0
2018,2,Central NY,Oneida,Senior,Community Residence,6465,0,0,0
2018,2,Central NY,Oneida,Senior,"Comprehensive Psychiatric Emergency Program
Non-EOB",6465,0,0,0
2018,2,Central NY,Oneida,Senior,MH Emergency,6465,112,203,8025
2018,2,Central NY,Oneida,Senior,OMH Licensed Clinic Treatment,6465,261,1938,256538
2018,2,Central NY,Oneida,Senior,Psych Inpatient 28,6465,36,400,67319
2018,2,Central NY,Oneida,Senior,Psych Inpatient 31,6465,0,0,0
2018,2,Central NY,Oneida,Senior,Psych Inpatient SPC,6465,0,0,0
2018,2,Central NY,Onondaga,Adult,Assertive Community Treatment,61471,66,542,778786
2018,2,Central NY,Onondaga,Adult,Community Residence,61471,215,1686,4977519
2018,2,Central NY,Onondaga,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",61471,72,83,51936
2018,2,Central NY,Onondaga,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",61471,1907,3375,1539481
2018,2,Central NY,Onondaga,Adult,Continuing Day Treatment,61471,0,0,0
2018,2,Central NY,Onondaga,Adult,MH Emergency,61471,1859,3341,514875
2018,2,Central NY,Onondaga,Adult,OMH Licensed Clinic Treatment,61471,5490,66669,8283242
2018,2,Central NY,Onondaga,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,61471,2987,45596,9306235
2018,2,Central NY,Onondaga,Adult,Partial Hospitalization,61471,0,0,0
2018,2,Central NY,Onondaga,Adult,Personalized Recovery Oriented Services,61471,454,2143,1419429
2018,2,Central NY,Onondaga,Adult,Psych Inpatient 28,61471,1034,11237,6808270
2018,2,Central NY,Onondaga,Adult,Psych Inpatient 31,61471,0,0,0
2018,2,Central NY,Onondaga,Child,Community Residence,49172,0,0,0
2018,2,Central NY,Onondaga,Child,"Comprehensive Psychiatric Emergency Program
 EOB",49172,45,52,33353
2018,2,Central NY,Onondaga,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",49172,588,895,447851
2018,2,Central NY,Onondaga,Child,Home and Community Based Services Waiver (HCBS),49172,67,415,705081
2018,2,Central NY,Onondaga,Child,MH Emergency,49172,675,1021,214794
2018,2,Central NY,Onondaga,Child,OMH Children's Day Treatment,49172,36,2815,266608
2018,2,Central NY,Onondaga,Child,OMH Licensed Clinic Treatment,49172,2983,45941,6286927
2018,2,Central NY,Onondaga,Child,OMH/OASAS Certified Community Behavioral Health Clinics,49172,510,5283,1068611
2018,2,Central NY,Onondaga,Child,Partial Hospitalization,49172,0,0,0
2018,2,Central NY,Onondaga,Child,Psych Inpatient 28,49172,171,1308,1182169
2018,2,Central NY,Onondaga,Child,Psych Inpatient 31,49172,0,0,0
2018,2,Central NY,Onondaga,Child,Psych Inpatient SPC,49172,80,2367,3930566
2018,2,Central NY,Onondaga,Child,Residential Treatment Facility,49172,0,0,0
2018,2,Central NY,Onondaga,Senior,Assertive Community Treatment,9619,0,0,0
2018,2,Central NY,Onondaga,Senior,Community Residence,9619,20,163,534222
2018,2,Central NY,Onondaga,Senior,"Comprehensive Psychiatric Emergency Program
Non-EOB",9619,31,54,8487
2018,2,Central NY,Onondaga,Senior,Continuing Day Treatment,9619,0,0,0
2018,2,Central NY,Onondaga,Senior,MH Emergency,9619,96,155,5210
2018,2,Central NY,Onondaga,Senior,OMH Licensed Clinic Treatment,9619,314,3570,342683
2018,2,Central NY,Onondaga,Senior,OMH/OASAS Certified Community Behavioral Health Clinics,9619,22,195,35182
2018,2,Central NY,Onondaga,Senior,Personalized Recovery Oriented Services,9619,0,0,0
2018,2,Central NY,Onondaga,Senior,Psych Inpatient 28,9619,43,477,50301
2018,2,Central NY,Onondaga,Senior,Psych Inpatient SPC,9619,0,0,0
2018,2,Central NY,Oswego,Adult,Assertive Community Treatment,17260,51,468,769983
2018,2,Central NY,Oswego,Adult,Community Residence,17260,41,371,946864
2018,2,Central NY,Oswego,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",17260,0,0,0
2018,2,Central NY,Oswego,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",17260,138,188,78011
2018,2,Central NY,Oswego,Adult,MH Emergency,17260,736,1115,171664
2018,2,Central NY,Oswego,Adult,OMH Licensed Clinic Treatment,17260,1681,15362,1672104
2018,2,Central NY,Oswego,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,17260,250,2938,599438
2018,2,Central NY,Oswego,Adult,Partial Hospitalization,17260,0,0,0
2018,2,Central NY,Oswego,Adult,Personalized Recovery Oriented Services,17260,26,84,63495
2018,2,Central NY,Oswego,Adult,Psych Inpatient 28,17260,398,3325,2303536
2018,2,Central NY,Oswego,Adult,Psych Inpatient 31,17260,0,0,0
2018,2,Central NY,Oswego,Child,Community Residence,13426,0,0,0
2018,2,Central NY,Oswego,Child,"Comprehensive Psychiatric Emergency Program
 EOB",13426,0,0,0
2018,2,Central NY,Oswego,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",13426,80,104,47003
2018,2,Central NY,Oswego,Child,Home and Community Based Services Waiver (HCBS),13426,0,0,0
2018,2,Central NY,Oswego,Child,MH Emergency,13426,388,627,143544
2018,2,Central NY,Oswego,Child,OMH Children's Day Treatment,13426,36,3023,271030
2018,2,Central NY,Oswego,Child,OMH Licensed Clinic Treatment,13426,1066,14105,1672834
2018,2,Central NY,Oswego,Child,OMH/OASAS Certified Community Behavioral Health Clinics,13426,35,237,47444
2018,2,Central NY,Oswego,Child,Psych Inpatient 28,13426,60,471,386248
2018,2,Central NY,Oswego,Child,Psych Inpatient 31,13426,0,0,0
2018,2,Central NY,Oswego,Child,Psych Inpatient SPC,13426,39,760,1299626
2018,2,Central NY,Oswego,Child,Residential Treatment Facility,13426,0,0,0
2018,2,Central NY,Oswego,Senior,Assertive Community Treatment,2384,0,0,0
2018,2,Central NY,Oswego,Senior,Community Residence,2384,0,0,0
2018,2,Central NY,Oswego,Senior,"Comprehensive Psychiatric Emergency Program
Non-EOB",2384,0,0,0
2018,2,Central NY,Oswego,Senior,MH Emergency,2384,30,56,1527
2018,2,Central NY,Oswego,Senior,OMH Licensed Clinic Treatment,2384,99,700,31344
2018,2,Central NY,Oswego,Senior,Psych Inpatient 28,2384,0,0,0
2018,2,Central NY,Otsego,Adult,Community Residence,7020,0,0,0
2018,2,Central NY,Otsego,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",7020,38,48,15942
2018,2,Central NY,Otsego,Adult,MH Emergency,7020,245,371,51758
2018,2,Central NY,Otsego,Adult,OMH Licensed Clinic Treatment,7020,703,4553,627411
2018,2,Central NY,Otsego,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,7020,0,0,0
2018,2,Central NY,Otsego,Adult,Personalized Recovery Oriented Services,7020,0,0,0
2018,2,Central NY,Otsego,Adult,Psych Inpatient 28,7020,121,1151,537550
2018,2,Central NY,Otsego,Adult,Psych Inpatient 31,7020,0,0,0
2018,2,Central NY,Otsego,Child,Community Residence,4536,0,0,0
2018,2,Central NY,Otsego,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",4536,23,28,11561
2018,2,Central NY,Otsego,Child,Home and Community Based Services Waiver (HCBS),4536,0,0,0
2018,2,Central NY,Otsego,Child,MH Emergency,4536,99,186,29129
2018,2,Central NY,Otsego,Child,OMH Children's Day Treatment,4536,0,0,0
2018,2,Central NY,Otsego,Child,OMH Licensed Clinic Treatment,4536,368,3004,574690
2018,2,Central NY,Otsego,Child,OMH/OASAS Certified Community Behavioral Health Clinics,4536,0,0,0
2018,2,Central NY,Otsego,Child,Psych Inpatient 28,4536,0,0,0
2018,2,Central NY,Otsego,Child,Psych Inpatient 31,4536,21,328,316585
2018,2,Central NY,Otsego,Child,Psych Inpatient SPC,4536,0,0,0
2018,2,Central NY,Otsego,Child,Residential Treatment Facility,4536,0,0,0
2018,2,Central NY,Otsego,Senior,Community Residence,1463,0,0,0
2018,2,Central NY,Otsego,Senior,MH Emergency,1463,0,0,0
2018,2,Central NY,Otsego,Senior,OMH Licensed Clinic Treatment,1463,30,179,17468
2018,2,Central NY,Otsego,Senior,Personalized Recovery Oriented Services,1463,0,0,0
2018,2,Central NY,Otsego,Senior,Psych Inpatient 28,1463,0,0,0
2018,2,Central NY,Saint Lawrence,Adult,Assertive Community Treatment,15023,48,349,558339
2018,2,Central NY,Saint Lawrence,Adult,Community Residence,15023,39,288,691380
2018,2,Central NY,Saint Lawrence,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",15023,0,0,0
2018,2,Central NY,Saint Lawrence,Adult,MH Emergency,15023,627,1081,161300
2018,2,Central NY,Saint Lawrence,Adult,OMH Licensed Clinic Treatment,15023,1895,15647,2698350
2018,2,Central NY,Saint Lawrence,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,15023,313,2077,481037
2018,2,Central NY,Saint Lawrence,Adult,Personalized Recovery Oriented Services,15023,0,0,0
2018,2,Central NY,Saint Lawrence,Adult,Psych Inpatient 28,15023,377,4540,2537162
2018,2,Central NY,Saint Lawrence,Child,Community Residence,10334,0,0,0
2018,2,Central NY,Saint Lawrence,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",10334,0,0,0
2018,2,Central NY,Saint Lawrence,Child,Home and Community Based Services Waiver (HCBS),10334,54,264,453368
2018,2,Central NY,Saint Lawrence,Child,MH Emergency,10334,288,496,100684
2018,2,Central NY,Saint Lawrence,Child,OMH Children's Day Treatment,10334,0,0,0
2018,2,Central NY,Saint Lawrence,Child,OMH Licensed Clinic Treatment,10334,861,6367,1378490
2018,2,Central NY,Saint Lawrence,Child,OMH/OASAS Certified Community Behavioral Health Clinics,10334,119,601,143329
2018,2,Central NY,Saint Lawrence,Child,Psych Inpatient 28,10334,36,419,316539
2018,2,Central NY,Saint Lawrence,Child,Psych Inpatient 31,10334,0,0,0
2018,2,Central NY,Saint Lawrence,Child,Psych Inpatient SPC,10334,81,2330,3876929
2018,2,Central NY,Saint Lawrence,Child,Residential Treatment Facility,10334,0,0,0
2018,2,Central NY,Saint Lawrence,Senior,Assertive Community Treatment,2944,0,0,0
2018,2,Central NY,Saint Lawrence,Senior,MH Emergency,2944,28,41,1256
2018,2,Central NY,Saint Lawrence,Senior,OMH Licensed Clinic Treatment,2944,64,525,80678
2018,2,Central NY,Saint Lawrence,Senior,OMH/OASAS Certified Community Behavioral Health Clinics,2944,0,0,0
2018,2,Central NY,Saint Lawrence,Senior,Psych Inpatient 28,2944,0,0,0
2018,3,Hudson River,Albany,Adult,Assertive Community Treatment,34501,46,397,536336
2018,3,Hudson River,Albany,Adult,Community Residence,34501,278,2697,7715383
2018,3,Hudson River,Albany,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",34501,0,0,0
2018,3,Hudson River,Albany,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",34501,0,0,0
2018,3,Hudson River,Albany,Adult,Continuing Day Treatment,34501,0,0,0
2018,3,Hudson River,Albany,Adult,MH Emergency,34501,1318,2620,385374
2018,3,Hudson River,Albany,Adult,OMH Licensed Clinic Treatment,34501,2389,29761,3849365
2018,3,Hudson River,Albany,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,34501,0,0,0
2018,3,Hudson River,Albany,Adult,Partial Hospitalization,34501,22,102,26745
2018,3,Hudson River,Albany,Adult,Personalized Recovery Oriented Services,34501,428,2900,2068845
2018,3,Hudson River,Albany,Adult,Psych Inpatient 28,34501,665,8035,4646570
2018,3,Hudson River,Albany,Adult,Psych Inpatient 31,34501,63,688,748627
2018,3,Hudson River,Albany,Child,Community Residence,24589,0,0,0
2018,3,Hudson River,Albany,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",24589,0,0,0
2018,3,Hudson River,Albany,Child,Home and Community Based Services Waiver (HCBS),24589,42,268,541481
2018,3,Hudson River,Albany,Child,MH Emergency,24589,337,566,94695
2018,3,Hudson River,Albany,Child,OMH Children's Day Treatment,24589,56,4883,427324
